run_id,timestamp_start,timestamp_end,runtime_seconds,return_code,seq_len,batch_size,epochs,learning_rate,hidden_size,num_layers,dropout,train_loss,val_loss,train_nse,val_nse,train_kge,val_kge,final_epoch,total_epochs_reported,log_file,command
1,2026-04-15T14:36:14,2026-04-15T15:03:31,1636.863046,0,30,64,5,0.001,64,1,0.1,0.0698,0.0732,0.6398,0.6336,0.6861,0.6544,5,5,experiment_logs\run_001.log,C:\Users\maria\OneDrive - University of Arizona\Documents\GitHub\HWRS640_HW4\.venv\Scripts\python.exe main.py train --seq-len 30 --batch-size 64 --epochs 5 --learning-rate 0.001 --hidden-size 64 --num-layers 1 --dropout 0.1
2,2026-04-15T15:03:31,2026-04-15T15:23:25,1193.585435,0,30,64,5,0.0005,64,1,0.1,0.0728,0.076,0.6353,0.631,0.6775,0.6443,5,5,experiment_logs\run_002.log,C:\Users\maria\OneDrive - University of Arizona\Documents\GitHub\HWRS640_HW4\.venv\Scripts\python.exe main.py train --seq-len 30 --batch-size 64 --epochs 5 --learning-rate 0.0005 --hidden-size 64 --num-layers 1 --dropout 0.1
3,2026-04-15T15:23:25,2026-04-15T16:50:30,5225.069998,0,60,64,5,0.001,64,1,0.1,0.0623,0.0636,0.647,0.6588,0.6975,0.7073,5,5,experiment_logs\run_003.log,C:\Users\maria\OneDrive - University of Arizona\Documents\GitHub\HWRS640_HW4\.venv\Scripts\python.exe main.py train --seq-len 60 --batch-size 64 --epochs 5 --learning-rate 0.001 --hidden-size 64 --num-layers 1 --dropout 0.1
4,2026-04-15T16:50:30,2026-04-15T16:57:28,418.493411,0,60,64,5,0.0005,64,1,0.1,0.0654,0.0637,0.6384,0.6603,0.6803,0.6977,5,5,experiment_logs\run_004.log,C:\Users\maria\OneDrive - University of Arizona\Documents\GitHub\HWRS640_HW4\.venv\Scripts\python.exe main.py train --seq-len 60 --batch-size 64 --epochs 5 --learning-rate 0.0005 --hidden-size 64 --num-layers 1 --dropout 0.1
